tv_on,tv,on,ffffff070000e03fc03f807f0000fc0300e03f0000fe0100f00fe01fc03f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fcffff0f0000c07f80ff00ff0000f80f00807f0000fc0300e01fc03f807f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fcffff0f0000c07f807f00ff0000f80700c07f0000fc0300e01fc03fc07f00000000000000000000000000000000
tv_off,tv,off,ffffff070000e03fc03f0000fe03fc03f80700c03f807f0000fc0700c03f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fcffff0f0000c07f807f0000fc07f80ff00f0080ff00ff0000f80f00807f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fcffff0f0000c03f807f0000fc07f807f00f00807f00ff0000f80700807f00000000000000000000000000000000
light_on,light,on,ffffff070000e03fc03f807f0000fc0300e03f0000fe0100f00fe01fc03f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fcffff0f0000c07f80ff00ff0000f80f00807f0000fc0300e01fc03f807f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fcffff0f0000c07f807f00ff0000f80700c07f0000fc0300e01fc03fc07f00000000000000000000000000000000
light_off,light,off,ffffff070000e03fc03f0000fe03fc03f80700c03f807f0000fc0700c03f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fcffff0f0000c07f807f0000fc07f80ff00f0080ff00ff0000f80f00807f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fcffff0f0000c03f807f0000fc07f807f00f00807f00ff0000f80700807f00000000000000000000000000000000
fan_on,fan,on,ffffff070000e03fc03f807f0000fc0300e03f0000fe0100f00fe01fc03f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fcffff0f0000c07f80ff00ff0000f80f00807f0000fc0300e01fc03f807f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fcffff0f0000c07f807f00ff0000f80700c07f0000fc0300e01fc03fc07f00000000000000000000000000000000
fan_off,fan,off,ffffff070000e03fc03f0000fe03fc03f80700c03f807f0000fc0700c03f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fcffff0f0000c07f807f0000fc07f80ff00f0080ff00ff0000f80f00807f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fcffff0f0000c03f807f0000fc07f807f00f00807f00ff0000f80700807f00000000000000000000000000000000
aircon_on,aircon,on,ffffff070000e03fc03f807f0000fc0300e03f0000fe0100f00fe01fc03f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fcffff0f0000c07f80ff00ff0000f80f00807f0000fc0300e01fc03f807f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fcffff0f0000c07f807f00ff0000f80700c07f0000fc0300e01fc03fc07f00000000000000000000000000000000
aircon_off,aircon,off,ffffff070000e03fc03f0000fe03fc03f80700c03f807f0000fc0700c03f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fcffff0f0000c07f807f0000fc07f80ff00f0080ff00ff0000f80f00807f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fcffff0f0000c03f807f0000fc07f807f00f00807f00ff0000f80700807f00000000000000000000000000000000
audio_on,audio,on,ffffff070000e03fc03f807f0000fc0300e03f0000fe0100f00fe01fc03f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fcffff0f0000c07f80ff00ff0000f80f00807f0000fc0300e01fc03f807f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fcffff0f0000c07f807f00ff0000f80700c07f0000fc0300e01fc03fc07f00000000000000000000000000000000
audio_off,audio,off,ffffff070000e03fc03f0000fe03fc03f80700c03f807f0000fc0700c03f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fcffff0f0000c07f807f0000fc07f80ff00f0080ff00ff0000f80f00807f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fcffff0f0000c03f807f0000fc07f807f00f00807f00ff0000f80700807f00000000000000000000000000000000
